MUNICIPAL STATUS,CODE OF LOCALITY,LOCAL AUTHORITY - HEB,DISTRICT,INDEX POPULATION 2021[1],INDEX VALUE 2021[2],RANK 2021[3],CLUSTER 2021[4],RANK 2019[3],CLUSTER 2019[4],DIFFERENCE (CLUSTER 2021 MINUS CLUSTER 2019),NAME OF LOCAL AUTHORITY
99,3730,גבעת זאב,7,"20,031",-0.378,99,4,107,5,-1,GIV'AT ZE'EV
99,505,כאוכב אבו אל-היג'א,2,"3,723",-0.351,100,5,91,4,1,KAOKAB ABU AL-HIJA
0,7700,עפולה,2,"58,822",-0.327,101,5,104,5,0,AFULA
0,1061,נוף הגליל,2,"42,510",-0.298,102,5,109,5,0,NOF HAGALIL
99,496,חורפיש,2,"6,581",-0.288,103,5,97,5,0,HURFEISH
0,2720,טירה,4,"27,258",-0.275,104,5,96,5,0,TIRE
99,534,עספיא,3,"12,741",-0.274,105,5,101,5,0,ISIFYA
0,9600,קריית ים,3,"39,195",-0.247,106,5,111,5,0,QIRYAT YAM
0,70,אשדוד,6,"225,173",-0.246,107,5,108,5,0,ASHDOD
99,4100,קצרין,2,"7,600",-0.224,108,5,110,5,0,QAZRIN
0,6200,בת ים,5,"126,010",-0.219,109,5,112,5,0,BAT YAM
99,494,דאלית אל-כרמל,3,"18,046",-0.203,110,5,103,5,0,DALIYAT AL-KARMEL
99,1247,חריש,3,"27,001",-0.182,111,5,129,5,0,HARISH
0,2800,קריית שמונה,2,"22,293",-0.163,112,5,115,5,0,QIRYAT SHEMONA
99,485,ג'ולס,2,"6,631",-0.163,113,5,106,5,0,JULIS
0,7100,אשקלון,6,"148,629",-0.135,114,5,119,5,0,ASHQELON
0,1031,שדרות,6,"30,422",-0.132,115,5,113,5,0,SEDEROT
99,654,כפר קרע,3,"19,665",-0.112,116,5,105,5,0,KAFAR QARA
0,9000,באר שבע,6,"208,757",-0.111,117,5,128,5,0,BE'ER SHEVA
8,,הגלבוע,2,"31,590",-0.098,118,5,116,5,0,HAGILBO'A
73,,מטה בנימין,7,"73,459",-0.081,119,5,125,5,0,MATTE BINYAMIN
99,543,ראמה,2,"7,780",-0.069,120,5,114,5,0,RAME
0,1063,מעלות-תרשיחא,2,"22,237",-0.057,121,5,124,5,0,MA'ALOT-TARSHIHA
31,,נחל שורק,4,"10,169",-0.057,122,5,120,5,0,NAHAL SOREQ
53,,חבל אילות,6,"4,745",-0.055,123,5,131,5,0,HEVEL ELOT
34,,שפיר,6,"12,849",-0.055,124,5,132,5,0,SHAFIR
99,536,פקיעין (בוקייעה),2,"6,023",-0.039,125,5,118,5,0,PEQI'IN (BUQEI'A)
99,507,כפר יאסיף,2,"10,198",-0.036,126,5,117,5,0,KAFAR YASIF
99,469,קריית עקרון,4,"11,045",-0.021,127,5,138,6,-1,QIRYAT EQRON
99,1066,"בני עי""ש",4,"6,894",-0.020,128,5,136,5,0,BENE AYISH
12,,זבולון,3,"13,160",-0.014,129,5,135,5,0,ZEVULUN
99,530,עיילבון,2,"5,763",-0.011,130,5,123,5,0,EILABUN
0,1020,אור עקיבא,3,"19,715",-0.009,131,5,126,5,0,OR AQIVA
99,3557,קדומים,7,"4,590",-0.006,132,5,127,5,0,QEDUMIM
99,65,מגדל,2,"1,878",-0.004,133,5,140,6,-1,MIGDAL
0,2400,אור יהודה,5,"36,694",0.005,134,5,137,5,0,OR YEHUDA
78,,הר חברון,7,"10,078",0.012,135,5,122,5,0,HAR HEVRON
2,,מרום הגליל,2,"15,053",0.016,136,5,133,5,0,MEROM HAGALIL
0,1139,כרמיאל,2,"46,266",0.020,137,5,141,6,-1,KARMI'EL
99,628,ג'ת,3,"12,461",0.037,138,5,121,5,0,JATT
29,,חבל יבנה,4,"6,840",0.069,139,6,130,5,1,HEVEL YAVNE
0,7400,נתניה,4,"223,234",0.084,140,6,139,6,0,NETANYA
0,6800,קריית אתא,3,"59,718",0.090,141,6,142,6,0,QIRYAT ATTA
0,2100,טירת כרמל,3,"26,702",0.108,142,6,134,5,1,TIRAT KARMEL
0,9100,נהרייה,2,"60,656",0.143,143,6,152,6,0,NAHARIYYA
76,,גוש עציון,7,"25,629",0.144,144,6,144,6,0,GUSH EZYON
0,2600,אילת,6,"52,674",0.151,145,6,149,6,0,ELAT
99,3640,קרני שומרון,7,"9,656",0.165,146,6,147,6,0,QARNE SHOMERON
75,,ערבות הירדן,7,"6,103",0.165,147,6,161,6,0,ARVOT HAYARDEN
0,6500,חדרה,3,"99,956",0.184,148,6,150,6,0,HADERA
39,,שדות נגב,6,"11,060",0.185,149,6,145,6,0,SEDOT NEGEV
40,,עמק לוד,4,"15,809",0.185,150,6,146,6,0,EMEQ LOD
99,812,שלומי,2,"6,980",0.190,151,6,143,6,0,SHELOMI
48,,רמת נגב,6,"8,044",0.206,152,6,158,6,0,RAMAT NEGEV
71,,גולן,2,"19,183",0.207,153,6,148,6,0,GOLAN
0,3570,אריאל,7,"19,642",0.227,154,6,151,6,0,ARI'EL
42,,מרחבים,6,"14,459",0.232,155,6,154,6,0,MERHAVIM
0,3616,מעלה אדומים,7,"37,420",0.241,156,6,159,6,0,MA'ALE ADUMMIM
72,,שומרון,7,"49,954",0.272,157,6,156,6,0,SHOMERON
7,,עמק המעיינות,2,"14,083",0.304,158,6,155,6,0,EMEQ HAMA'AYANOT
99,508,כפר כמא,2,"3,479",0.307,159,6,157,6,0,KAFAR KAMA
38,,אשכול,6,"15,129",0.309,160,6,160,6,0,ESHKOL
0,9500,קריית ביאליק,3,"43,205",0.328,161,6,162,6,0,QIRYAT BIALIK
0,6600,חולון,5,"197,166",0.371,162,7,166,7,0,HOLON
99,535,פסוטה,2,"3,236",0.391,163,7,153,6,1,FASSUTA
0,4000,חיפה,3,"281,351",0.391,164,7,165,7,0,HAIFA
99,41,אליכין,4,"3,461",0.400,165,7,163,7,0,ELYAKHIN
0,8200,קריית מוצקין,3,"46,528",0.402,166,7,167,7,0,QIRYAT MOTZKIN
52,,מעלה יוסף,2,"11,540",0.466,167,7,186,7,0,MA'ALE YOSEF
13,,מגידו,2,"12,154",0.467,168,7,169,7,0,MEGIDDO
6,,עמק הירדן,2,"14,341",0.475,169,7,164,7,0,EMEQ HAYARDEN
99,565,אזור,5,"13,348",0.496,170,7,174,7,0,AZOR
0,2660,יבנה,4,"53,572",0.514,171,7,170,7,0,YAVNE
99,3650,אפרת,7,"11,803",0.515,172,7,171,7,0,EFRAT
4,,מטה אשר,2,"30,618",0.520,173,7,173,7,0,MATTE ASHER
50,,לכיש,6,"13,776",0.548,174,7,177,7,0,LAKHISH
0,7900,פתח תקווה,4,"250,960",0.550,175,7,178,7,0,PETAH TIQWA
99,487,ג'ש (גוש חלב),2,"3,148",0.552,176,7,168,7,0,JISH(GUSH HALAV)
0,2500,נשר,3,"23,751",0.564,177,7,182,7,0,NESHER
99,466,בית דגן,4,"7,636",0.571,178,7,175,7,0,BET DAGAN
51,,תמר,6,"1,572",0.576,179,7,184,7,0,TAMAR
74,,מגילות ים המלח,7,"2,031",0.576,180,7,187,7,0,MEGILLOT DEAD SEA
3,,הגליל התחתון,2,"12,764",0.594,181,7,172,7,0,HAGALIL HATAHTON
0,8400,רחובות,4,"147,611",0.601,182,7,183,7,0,REHOVOT
1,,הגליל העליון,2,"19,310",0.602,183,7,176,7,0,HAGALIL HAELYON
56,,משגב,2,"30,017",0.619,184,7,179,7,0,MISGAV
14,,מנשה,3,"21,198",0.638,185,7,181,7,0,MENASHE
99,26,ראש פינה,2,"3,237",0.644,186,7,180,7,0,ROSH PINNA
36,,חוף אשקלון,6,"19,235",0.648,187,7,185,7,0,HOF ASHQELON
99,7800,פרדס חנה-כרכור,3,"43,885",0.704,188,7,188,7,0,PARDES HANNA-KARKUR
0,8300,ראשון לציון,4,"256,243",0.727,189,7,190,7,0,RISHON LEZIYYON
99,2550,גדרה,4,"29,988",0.747,190,7,189,7,0,GEDERA
26,,מטה יהודה,1,"61,800",0.757,191,7,192,7,0,MATTE YEHUDA
99,3652,בית אריה-עופרים,7,"5,407",0.763,192,7,201,7,0,BET ARYE-OFARIM
37,,שער הנגב,6,"9,040",0.769,193,7,204,7,0,SHA'AR HANEGEV
99,166,גן יבנה,4,"24,244",0.774,194,7,191,7,0,GAN YAVNE
0,2640,ראש העין,4,"71,172",0.781,195,7,194,7,0,ROSH HAAYIN
0,168,כפר יונה,4,"27,795",0.781,196,7,196,7,0,KEFAR YONA
0,2530,באר יעקב,4,"29,695",0.783,197,7,197,7,0,BE'ER YA'AQOV
54,,הערבה התיכונה,6,"3,771",0.792,198,7,199,7,0,HAARAVA HATIKHONA
0,240,יקנעם עילית,2,"24,151",0.795,199,7,193,7,0,YOQNE'AM ILLIT
55,,מבואות החרמון,2,"7,564",0.799,200,7,195,7,0,MEVO'OT HAHERMON
25,,חבל מודיעין,4,"24,103",0.837,201,7,202,7,0,HEVEL MODI'IN
33,,באר טוביה,6,"23,696",0.856,202,7,200,7,0,BE'ER TOVIYYA
99,43,מטולה,2,"1,693",0.891,203,7,203,7,0,METULA
